id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
2,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8546,31,0,1,hourly_min,24,,120,120,240,5000.0,42.37,50.0,1199.92,,50.0,2399.84,2399.84,48,48,24,1,0,48,0,42.37,0.0,2033.76,2033.76,0.0,18,366.08,2399.84,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
47,Fronx Petrol AMT,AVS RENT A CAB,1,KL07DC1178,45,0,1,hourly_min,24,,120,120,240,5000.0,81.21,95.83,2299.87,,95.83,4599.73,4599.73,48,48,24,1,0,48,0,81.21,0.0,3898.08,3898.08,0.0,18,701.65,4599.73,https://master.therentos.com/uploads/1779909743_variant.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
63,Hycross N/M Petrol AMT,AVS RENT A CAB,1,KL07DH9188,57,0,1,hourly_min,24,,120,120,240,10000.0,148.31,175.01,4200.14,,175.01,8400.28,8400.28,48,48,24,1,0,48,0,148.31,0.0,7118.88,7118.88,0.0,18,1281.4,8400.28,https://master.therentos.com/uploads/1780055022_hycrossLarge.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
78,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07DH8402,53,0,1,hourly_min,24,,120,120,240,10000.0,134.18,158.33,3799.98,,158.33,7599.96,7599.96,48,48,24,1,0,48,0,134.18,0.0,6440.64,6440.64,0.0,18,1159.32,7599.96,https://master.therentos.com/uploads/1780054872_417-4177146_toyota-car-toyota-innova-crysta-motor-vehicle-png.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
