id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,1,hourly_min,24,,120,120,240,5000.0,52.97,62.5,1500.11,,62.5,3000.22,3000.22,48,48,24,1,0,48,0,52.97,0.0,2542.56,2542.56,0.0,18,457.66,3000.22,https://master.therentos.com/uploads/1788423662_celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
8,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DK0992,35,0,1,hourly_min,24,,120,120,240,5000.0,56.5,66.67,1600.08,,66.67,3200.16,3200.16,48,48,24,1,0,48,0,56.5,0.0,2712.0,2712.0,0.0,18,488.16,3200.16,https://master.therentos.com/uploads/1788423810_celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,1,hourly_min,24,,120,120,240,5000.0,70.62,83.33,1999.96,,83.33,3999.92,3999.92,48,48,24,1,0,48,0,70.62,0.0,3389.76,3389.76,0.0,18,610.16,3999.92,https://master.therentos.com/uploads/1788423645_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
16,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9113,36,0,1,hourly_min,24,,120,120,240,5000.0,67.09,79.17,1899.99,,79.17,3799.98,3799.98,48,48,24,1,0,48,0,67.09,0.0,3220.32,3220.32,0.0,18,579.66,3799.98,https://master.therentos.com/uploads/1788423823_swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
19,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DF5579,37,0,1,hourly_min,24,,120,120,240,5000.0,77.68,91.66,2199.9,,91.66,4399.8,4399.8,48,48,24,1,0,48,0,77.68,0.0,3728.64,3728.64,0.0,18,671.16,4399.8,https://master.therentos.com/uploads/1788423836_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
20,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DB9370,37,0,1,hourly_min,24,,120,120,240,5000.0,77.69,91.67,2200.18,,91.67,4400.36,4400.36,48,48,24,1,0,48,0,77.69,0.0,3729.12,3729.12,0.0,18,671.24,4400.36,https://master.therentos.com/uploads/1788423836_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
22,Brezza Petrol MT,AVS RENT A CAB,1,KL07DE0435,26,0,1,hourly_min,24,,120,120,240,5000.0,95.34,112.5,2700.03,,112.5,5400.06,5400.06,48,48,24,1,0,48,0,95.34,0.0,4576.32,4576.32,0.0,18,823.74,5400.06,https://master.therentos.com/uploads/1788423695_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
36,S Presso Petrol AMT,AVS RENT A CAB,1,KL07DF5526,34,0,1,hourly_min,24,,120,120,240,5000.0,45.9,54.16,1299.89,,54.16,2599.78,2599.78,48,48,24,1,0,48,0,45.9,0.0,2203.2,2203.2,0.0,18,396.58,2599.78,https://master.therentos.com/uploads/1788423796_spresso.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
41,Ignis Petrol AMT,AVS RENT A CAB,1,KL07DD8202,42,0,1,hourly_min,24,,120,120,240,5000.0,56.5,66.67,1600.08,,66.67,3200.16,3200.16,48,48,24,1,0,48,0,56.5,0.0,2712.0,2712.0,0.0,18,488.16,3200.16,https://master.therentos.com/uploads/1788424034_ignis.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
44,Fronx Petrol MT,AVS RENT A CAB,1,KL07DF5539,44,0,2,hourly_min,24,,120,120,240,5000.0,77.68,91.66,2199.9,,91.66,4399.8,4399.8,48,48,24,1,0,48,0,77.68,0.0,3728.64,3728.64,0.0,18,671.16,4399.8,https://master.therentos.com/uploads/1788424056_fronx.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
46,Fronx Petrol AMT,AVS RENT A CAB,1,KL07DF5531,45,0,1,hourly_min,24,,120,120,240,5000.0,81.21,95.83,2299.87,,95.83,4599.73,4599.73,48,48,24,1,0,48,0,81.21,0.0,3898.08,3898.08,0.0,18,701.65,4599.73,https://master.therentos.com/uploads/1788424070_fronx.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
49,Grand Vitara Petrol MT,AVS RENT A CAB,1,KL07DF5514,47,0,1,hourly_min,24,,120,120,240,5000.0,105.93,125.0,2999.94,,125.0,5999.88,5999.88,48,48,24,1,0,48,0,105.93,0.0,5084.64,5084.64,0.0,18,915.24,5999.88,https://master.therentos.com/uploads/1788424098_vitara.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
53,Ertiga Petrol MT 2025,AVS RENT A CAB,1,KL07DF6127,49,0,2,hourly_min,24,,120,120,240,10000.0,98.87,116.67,2800.0,,116.67,5600.0,5600.0,48,48,24,1,0,48,0,98.87,0.0,4745.76,4745.76,0.0,18,854.24,5600.0,https://master.therentos.com/uploads/1788424126_Ertiga.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
56,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07DG1348,53,0,4,hourly_min,24,,120,120,240,10000.0,134.18,158.33,3799.98,,158.33,7599.96,7599.96,48,48,24,1,0,48,0,134.18,0.0,6440.64,6440.64,0.0,18,1159.32,7599.96,https://master.therentos.com/uploads/1788424210_Crysta.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
61,Crysta Diesel AMT,AVS RENT A CAB,1,KL07CZ7426,55,0,1,hourly_min,24,,120,120,240,10000.0,134.18,158.33,3799.98,,158.33,7599.96,7599.96,48,48,24,1,0,48,0,134.18,0.0,6440.64,6440.64,0.0,18,1159.32,7599.96,https://master.therentos.com/uploads/1788424234_Crysta.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
64,Hycross Petrol AMT,AVS RENT A CAB,1,KL07DB2947,56,0,1,hourly_min,24,,120,120,240,10000.0,141.24,166.66,3999.92,,166.66,7999.83,7999.83,48,48,24,1,0,48,0,141.24,0.0,6779.52,6779.52,0.0,18,1220.31,7999.83,https://master.therentos.com/uploads/1788424247_Hycross NM Petrol AMT.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
