id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,1,hourly_min,24,,120,120,360,5000.0,67.09,79.17,1899.99,,79.17,5699.97,5699.97,72,72,24,1,0,72,0,67.09,0.0,4830.48,4830.48,0.0,18,869.49,5699.97,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
29,WagonR Petrol MT,AVS RENT A CAB,1,KL07DF5436,22,0,1,hourly_min,24,,120,120,360,5000.0,52.97,62.5,1500.11,,62.5,4500.33,4500.33,72,72,24,1,0,72,0,52.97,0.0,3813.84,3813.84,0.0,18,686.49,4500.33,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
57,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07DH8456,53,0,3,hourly_min,24,,120,120,360,10000.0,134.18,158.33,3799.98,,158.33,11399.93,11399.93,72,72,24,1,0,72,0,134.18,0.0,9660.96,9660.96,0.0,18,1738.97,11399.93,https://master.therentos.com/uploads/1780054872_417-4177146_toyota-car-toyota-innova-crysta-motor-vehicle-png.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
