id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,3,hourly_min,24,,120,120,655,5000.0,42.37,50.0,1199.92,,50.0,6549.55,6549.55,131,131,24,1,0,131,0,42.37,0.0,5550.47,5550.47,0.0,18,999.08,6549.55,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,655,5000.0,45.91,54.17,1300.17,,54.17,7096.77,7096.77,131,131,24,1,0,131,0,45.91,0.0,6014.21,6014.21,0.0,18,1082.56,7096.77,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,2,hourly_min,24,,120,120,655,5000.0,52.97,62.5,1500.11,,62.5,8188.1,8188.1,131,131,24,1,0,131,0,52.97,0.0,6939.07,6939.07,0.0,18,1249.03,8188.1,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,3,hourly_min,24,,120,120,655,5000.0,56.5,66.67,1600.08,,66.67,8733.77,8733.77,131,131,24,1,0,131,0,56.5,0.0,7401.5,7401.5,0.0,18,1332.27,8733.77,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,655,5000.0,60.03,70.84,1700.05,,70.84,9279.44,9279.44,131,131,24,1,0,131,0,60.03,0.0,7863.93,7863.93,0.0,18,1415.51,9279.44,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,655,5000.0,60.03,70.84,1700.05,,70.84,9279.44,9279.44,131,131,24,1,0,131,0,60.03,0.0,7863.93,7863.93,0.0,18,1415.51,9279.44,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
11,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5542,24,0,1,hourly_min,24,,120,120,655,5000.0,70.62,83.33,1999.96,,83.33,10916.44,10916.44,131,131,24,1,0,131,0,70.62,0.0,9251.22,9251.22,0.0,18,1665.22,10916.44,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,2,hourly_min,24,,120,120,655,5000.0,70.62,83.33,1999.96,,83.33,10916.44,10916.44,131,131,24,1,0,131,0,70.62,0.0,9251.22,9251.22,0.0,18,1665.22,10916.44,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,2,hourly_min,24,,120,120,655,5000.0,67.09,79.17,1899.99,,79.17,10370.77,10370.77,131,131,24,1,0,131,0,67.09,0.0,8788.79,8788.79,0.0,18,1581.98,10370.77,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
16,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9113,36,0,2,hourly_min,24,,120,120,655,5000.0,67.09,79.17,1899.99,,79.17,10370.77,10370.77,131,131,24,1,0,131,0,67.09,0.0,8788.79,8788.79,0.0,18,1581.98,10370.77,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
