id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,2,hourly_min,24,,120,120,120,5000.0,42.37,50.0,1199.92,,50.0,1199.92,1199.92,24,24,24,1,0,24,0,42.37,0.0,1016.88,1016.88,0.0,18,183.04,1199.92,https://master.therentos.com/uploads/1788423757_Alto K10.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
8,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DK0992,35,0,1,hourly_min,24,,120,120,120,5000.0,56.5,66.67,1600.08,,66.67,1600.08,1600.08,24,24,24,1,0,24,0,56.5,0.0,1356.0,1356.0,0.0,18,244.08,1600.08,https://master.therentos.com/uploads/1788423810_celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,120,5000.0,60.03,70.84,1700.05,,70.84,1700.05,1700.05,24,24,24,1,0,24,0,60.03,0.0,1440.72,1440.72,0.0,18,259.33,1700.05,https://master.therentos.com/uploads/1788423554_swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,120,5000.0,60.03,70.84,1700.05,,70.84,1700.05,1700.05,24,24,24,1,0,24,0,60.03,0.0,1440.72,1440.72,0.0,18,259.33,1700.05,https://master.therentos.com/uploads/1788423554_swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
18,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5486,36,0,1,hourly_min,24,,120,120,120,5000.0,67.09,79.17,1899.99,,79.17,1899.99,1899.99,24,24,24,1,0,24,0,67.09,0.0,1610.16,1610.16,0.0,18,289.83,1899.99,https://master.therentos.com/uploads/1788423823_swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
19,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DF5579,37,0,1,hourly_min,24,,120,120,120,5000.0,77.68,91.66,2199.9,,91.66,2199.9,2199.9,24,24,24,1,0,24,0,77.68,0.0,1864.32,1864.32,0.0,18,335.58,2199.9,https://master.therentos.com/uploads/1788423836_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
24,Brezza Petrol AMT,AVS RENT A CAB,1,KL07CY7219,38,0,1,hourly_min,24,,120,120,120,5000.0,88.28,104.17,2500.09,,104.17,2500.09,2500.09,24,24,24,1,0,24,0,88.28,0.0,2118.72,2118.72,0.0,18,381.37,2500.09,https://master.therentos.com/uploads/1788423847_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
27,WagonR Petrol MT,AVS RENT A CAB,1,KL07CT4013,22,0,1,hourly_min,24,,120,120,120,5000.0,49.44,58.34,1400.14,,58.34,1400.14,1400.14,24,24,24,1,0,24,0,49.44,0.0,1186.56,1186.56,0.0,18,213.58,1400.14,https://master.therentos.com/uploads/1788423574_wagonr.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
34,Grand i10 Petrol MT,AVS RENT A CAB,1,KL07DF4831,30,0,1,hourly_min,24,,120,120,120,5000.0,52.97,62.5,1500.11,,62.5,1500.11,1500.11,24,24,24,1,0,24,0,52.97,0.0,1271.28,1271.28,0.0,18,228.83,1500.11,https://master.therentos.com/uploads/1788423747_i10.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
36,S Presso Petrol AMT,AVS RENT A CAB,1,KL07DF5526,34,0,1,hourly_min,24,,120,120,120,5000.0,45.9,54.16,1299.89,,54.16,1299.89,1299.89,24,24,24,1,0,24,0,45.9,0.0,1101.6,1101.6,0.0,18,198.29,1299.89,https://master.therentos.com/uploads/1788423796_spresso.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
43,Exter Petrol AMT,AVS RENT A CAB,1,KL07DJ5375,43,0,1,hourly_min,24,,120,120,120,5000.0,63.56,75.0,1800.02,,75.0,1800.02,1800.02,24,24,24,1,0,24,0,63.56,0.0,1525.44,1525.44,0.0,18,274.58,1800.02,https://master.therentos.com/uploads/1788424046_Exter.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
45,Fronx Petrol MT,AVS RENT A CAB,1,KL07DF5491,44,0,1,hourly_min,24,,120,120,120,5000.0,77.68,91.66,2199.9,,91.66,2199.9,2199.9,24,24,24,1,0,24,0,77.68,0.0,1864.32,1864.32,0.0,18,335.58,2199.9,https://master.therentos.com/uploads/1788424056_fronx.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
56,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07DG1348,53,0,1,hourly_min,24,,120,120,120,10000.0,134.18,158.33,3799.98,,158.33,3799.98,3799.98,24,24,24,1,0,24,0,134.18,0.0,3220.32,3220.32,0.0,18,579.66,3799.98,https://master.therentos.com/uploads/1788424210_Crysta.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
59,Crysta Diesel AMT,AVS RENT A CAB,1,KL07CL6122,55,0,1,hourly_min,24,,120,120,120,10000.0,120.06,141.67,3400.1,,141.67,3400.1,3400.1,24,24,24,1,0,24,0,120.06,0.0,2881.44,2881.44,0.0,18,518.66,3400.1,https://master.therentos.com/uploads/1788424234_Crysta.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
66,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07CZ8434,53,0,1,hourly_min,24,,120,120,120,10000.0,123.59,145.84,3500.07,,145.84,3500.07,3500.07,24,24,24,1,0,24,0,123.59,0.0,2966.16,2966.16,0.0,18,533.91,3500.07,https://master.therentos.com/uploads/1788424210_Crysta.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
76,WagonR Petrol MT,AVS RENT A CAB,1,KL 07 DK 3102,22,0,1,hourly_min,24,,120,120,120,5000.0,52.97,62.5,1500.11,,62.5,1500.11,1500.11,24,24,24,1,0,24,0,52.97,0.0,1271.28,1271.28,0.0,18,228.83,1500.11,https://master.therentos.com/uploads/1788423574_wagonr.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
77,Ertiga Petrol MT 2025,AVS RENT A CAB,1,KL07DF6248,49,0,1,hourly_min,24,,120,120,120,10000.0,98.87,116.67,2800.0,,116.67,2800.0,2800.0,24,24,24,1,0,24,0,98.87,0.0,2372.88,2372.88,0.0,18,427.12,2800.0,https://master.therentos.com/uploads/1788424126_Ertiga.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
