id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,3,hourly_min,24,,120,120,3600,5000.0,42.37,50.0,1199.92,,50.0,35997.55,35997.55,720,720,24,1,0,720,0,42.37,0.0,30506.4,30506.4,0.0,18,5491.15,35997.55,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,3600,5000.0,45.91,54.17,1300.17,,54.17,39005.14,39005.14,720,720,24,1,0,720,0,45.91,0.0,33055.2,33055.2,0.0,18,5949.94,39005.14,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,2,hourly_min,24,,120,120,3600,5000.0,52.97,62.5,1500.11,,62.5,45003.31,45003.31,720,720,24,1,0,720,0,52.97,0.0,38138.4,38138.4,0.0,18,6864.91,45003.31,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,3,hourly_min,24,,120,120,3600,5000.0,56.5,66.67,1600.08,,66.67,48002.4,48002.4,720,720,24,1,0,720,0,56.5,0.0,40680.0,40680.0,0.0,18,7322.4,48002.4,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,3600,5000.0,60.03,70.84,1700.05,,70.84,51001.49,51001.49,720,720,24,1,0,720,0,60.03,0.0,43221.6,43221.6,0.0,18,7779.89,51001.49,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,3600,5000.0,60.03,70.84,1700.05,,70.84,51001.49,51001.49,720,720,24,1,0,720,0,60.03,0.0,43221.6,43221.6,0.0,18,7779.89,51001.49,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
11,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5542,24,0,1,hourly_min,24,,120,120,3600,5000.0,70.62,83.33,1999.96,,83.33,59998.75,59998.75,720,720,24,1,0,720,0,70.62,0.0,50846.4,50846.4,0.0,18,9152.35,59998.75,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,2,hourly_min,24,,120,120,3600,5000.0,70.62,83.33,1999.96,,83.33,59998.75,59998.75,720,720,24,1,0,720,0,70.62,0.0,50846.4,50846.4,0.0,18,9152.35,59998.75,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,2,hourly_min,24,,120,120,3600,5000.0,67.09,79.17,1899.99,,79.17,56999.66,56999.66,720,720,24,1,0,720,0,67.09,0.0,48304.8,48304.8,0.0,18,8694.86,56999.66,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
16,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9113,36,0,2,hourly_min,24,,120,120,3600,5000.0,67.09,79.17,1899.99,,79.17,56999.66,56999.66,720,720,24,1,0,720,0,67.09,0.0,48304.8,48304.8,0.0,18,8694.86,56999.66,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
19,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DF5579,37,0,2,hourly_min,24,,120,120,3600,5000.0,77.68,91.66,2199.9,,91.66,65996.93,65996.93,720,720,24,1,0,720,0,77.68,0.0,55929.6,55929.6,0.0,18,10067.33,65996.93,https://master.therentos.com/uploads/1781728937_balenoo.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
20,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DB9370,37,0,1,hourly_min,24,,120,120,3600,5000.0,77.69,91.67,2200.18,,91.67,66005.42,66005.42,720,720,24,1,0,720,0,77.69,0.0,55936.8,55936.8,0.0,18,10068.62,66005.42,https://master.therentos.com/uploads/1781728937_balenoo.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
22,Brezza Petrol MT,AVS RENT A CAB,1,KL07DE0435,26,0,2,hourly_min,24,,120,120,3600,5000.0,95.34,112.5,2700.03,,112.5,81000.86,81000.86,720,720,24,1,0,720,0,95.34,0.0,68644.8,68644.8,0.0,18,12356.06,81000.86,https://master.therentos.com/uploads/1774789845_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
24,Brezza Petrol AMT,AVS RENT A CAB,1,KL07CY7219,38,0,1,hourly_min,24,,120,120,3600,5000.0,88.28,104.17,2500.09,,104.17,75002.69,75002.69,720,720,24,1,0,720,0,88.28,0.0,63561.6,63561.6,0.0,18,11441.09,75002.69,https://master.therentos.com/uploads/1779907335_1774789845_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
25,Dezire Petrol AMT,AVS RENT A CAB,1,KL07DK0536,27,0,2,hourly_min,24,,120,120,3600,5000.0,70.62,83.33,1999.96,,83.33,59998.75,59998.75,720,720,24,1,0,720,0,70.62,0.0,50846.4,50846.4,0.0,18,9152.35,59998.75,https://master.therentos.com/uploads/1774789833_Dzire.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
27,WagonR Petrol MT,AVS RENT A CAB,1,KL07CT4013,22,0,2,hourly_min,24,,120,120,3600,5000.0,49.44,58.34,1400.14,,58.34,42004.22,42004.22,720,720,24,1,0,720,0,49.44,0.0,35596.8,35596.8,0.0,18,6407.42,42004.22,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
29,WagonR Petrol MT,AVS RENT A CAB,1,KL07DF5436,22,0,3,hourly_min,24,,120,120,3600,5000.0,52.97,62.5,1500.11,,62.5,45003.31,45003.31,720,720,24,1,0,720,0,52.97,0.0,38138.4,38138.4,0.0,18,6864.91,45003.31,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
31,WagonR Petrol AMT,AVS RENT A CAB,1,KL07DE1280,39,0,2,hourly_min,24,,120,120,3600,5000.0,56.5,66.67,1600.08,,66.67,48002.4,48002.4,720,720,24,1,0,720,0,56.5,0.0,40680.0,40680.0,0.0,18,7322.4,48002.4,https://master.therentos.com/uploads/1779908113_1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
33,Grand i10 Petrol MT,AVS RENT A CAB,1,KL07DF5075,30,0,2,hourly_min,24,,120,120,3600,5000.0,52.97,62.5,1500.11,,62.5,45003.31,45003.31,720,720,24,1,0,720,0,52.97,0.0,38138.4,38138.4,0.0,18,6864.91,45003.31,https://master.therentos.com/uploads/1774857734_i10 nios.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
35,Grand i10 Petrol AMT,AVS RENT A CAB,1,KL07DF5013,40,0,2,hourly_min,24,,120,120,3600,5000.0,56.5,66.67,1600.08,,66.67,48002.4,48002.4,720,720,24,1,0,720,0,56.5,0.0,40680.0,40680.0,0.0,18,7322.4,48002.4,https://master.therentos.com/uploads/1779908735_1774857734_i10 nios.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
36,S Presso Petrol AMT,AVS RENT A CAB,1,KL07DF5526,34,0,2,hourly_min,24,,120,120,3600,5000.0,45.9,54.16,1299.89,,54.16,38996.64,38996.64,720,720,24,1,0,720,0,45.9,0.0,33048.0,33048.0,0.0,18,5948.64,38996.64,https://master.therentos.com/uploads/1779902487_PngItem_5852187.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
38,Ignis Petrol MT,AVS RENT A CAB,1,KL07DF7910,41,0,2,hourly_min,24,,120,120,3600,5000.0,52.97,62.5,1500.11,,62.5,45003.31,45003.31,720,720,24,1,0,720,0,52.97,0.0,38138.4,38138.4,0.0,18,6864.91,45003.31,https://master.therentos.com/uploads/1779909148_PngItem_1232124.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
40,Ignis Petrol AMT,AVS RENT A CAB,1,KL07DF7940,42,0,3,hourly_min,24,,120,120,3600,5000.0,56.5,66.67,1600.08,,66.67,48002.4,48002.4,720,720,24,1,0,720,0,56.5,0.0,40680.0,40680.0,0.0,18,7322.4,48002.4,https://master.therentos.com/uploads/1779909174_PngItem_1232124.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
42,Exter Petrol AMT,AVS RENT A CAB,1,KL07DJ5476,43,0,2,hourly_min,24,,120,120,3600,5000.0,63.56,75.0,1800.02,,75.0,54000.58,54000.58,720,720,24,1,0,720,0,63.56,0.0,45763.2,45763.2,0.0,18,8237.38,54000.58,https://master.therentos.com/uploads/1779909499_1698469850.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
44,Fronx Petrol MT,AVS RENT A CAB,1,KL07DF5539,44,0,2,hourly_min,24,,120,120,3600,5000.0,77.68,91.66,2199.9,,91.66,65996.93,65996.93,720,720,24,1,0,720,0,77.68,0.0,55929.6,55929.6,0.0,18,10067.33,65996.93,https://master.therentos.com/uploads/1779909728_variant.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
46,Fronx Petrol AMT,AVS RENT A CAB,1,KL07DF5531,45,0,2,hourly_min,24,,120,120,3600,5000.0,81.21,95.83,2299.87,,95.83,68996.02,68996.02,720,720,24,1,0,720,0,81.21,0.0,58471.2,58471.2,0.0,18,10524.82,68996.02,https://master.therentos.com/uploads/1779909743_variant.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
48,EcoSport Petrol AMT,AVS RENT A CAB,1,KL07CN0656,46,0,1,hourly_min,24,,120,120,3600,5000.0,67.09,79.17,1899.99,,79.17,56999.66,56999.66,720,720,24,1,0,720,0,67.09,0.0,48304.8,48304.8,0.0,18,8694.86,56999.66,https://master.therentos.com/uploads/1780054491_340-3402471_ford-ecosport-se-hd-png-download.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
49,Grand Vitara Petrol MT,AVS RENT A CAB,1,KL07DF5514,47,0,2,hourly_min,24,,120,120,3600,5000.0,105.93,125.0,2999.94,,125.0,89998.13,89998.13,720,720,24,1,0,720,0,105.93,0.0,76269.6,76269.6,0.0,18,13728.53,89998.13,https://master.therentos.com/uploads/1780054533_grandvitara-arctic-white1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
