id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
2,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8546,31,0,2,hourly_min,24,,120,120,0,5000.0,42.37,50.0,1199.92,,50.0,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,2,hourly_min,24,,120,120,0,5000.0,52.97,62.5,1500.11,,62.5,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,0,5000.0,60.03,70.84,1700.05,,70.84,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
23,Brezza Petrol MT,AVS RENT A CAB,1,KL07DE0439,26,0,1,hourly_min,24,,120,120,0,5000.0,95.34,112.5,2700.03,,112.5,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1774789845_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
26,Dezire Petrol AMT,AVS RENT A CAB,1,KL07DK0539,27,0,1,hourly_min,24,,120,120,0,5000.0,70.62,83.33,1999.96,,83.33,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1774789833_Dzire.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
30,WagonR Petrol MT,AVS RENT A CAB,1,KL07DF5582,22,0,2,hourly_min,24,,120,120,0,5000.0,52.97,62.5,1500.11,,62.5,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
31,WagonR Petrol AMT,AVS RENT A CAB,1,KL07DE1280,39,0,1,hourly_min,24,,120,120,0,5000.0,56.5,66.67,1600.08,,66.67,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1779908113_1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
33,Grand i10 Petrol MT,AVS RENT A CAB,1,KL07DF5075,30,0,1,hourly_min,24,,120,120,0,5000.0,52.97,62.5,1500.11,,62.5,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1774857734_i10 nios.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
36,S Presso Petrol AMT,AVS RENT A CAB,1,KL07DF5526,34,0,1,hourly_min,24,,120,120,0,5000.0,45.9,54.16,1299.89,,54.16,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1779902487_PngItem_5852187.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
39,Ignis Petrol MT,AVS RENT A CAB,1,KL07DF7957,41,0,1,hourly_min,24,,120,120,0,5000.0,52.97,62.5,1500.11,,62.5,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1779909148_PngItem_1232124.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
41,Ignis Petrol AMT,AVS RENT A CAB,1,KL07DD8202,42,0,2,hourly_min,24,,120,120,0,5000.0,56.5,66.67,1600.08,,66.67,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1779909174_PngItem_1232124.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
51,Creta Diesel AMT,AVS RENT A CAB,1,KL07DJ2964,48,0,1,hourly_min,24,,120,120,0,5000.0,112.99,133.33,3199.88,,133.33,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054562_pngegg (1).png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
53,Ertiga Petrol MT 2025,AVS RENT A CAB,1,KL07DF6127,49,0,2,hourly_min,24,,120,120,0,10000.0,98.87,116.67,2800.0,,116.67,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054616_v1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
54,Ertiga Petrol AMT,AVS RENT A CAB,1,KL07DF5541,50,0,1,hourly_min,24,,120,120,0,10000.0,105.93,125.0,2999.94,,125.0,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054661_v1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
55,Ertiga XL6 Petrol AMT,AVS RENT A CAB,1,KL07DH9601,51,0,1,hourly_min,24,,120,120,0,10000.0,112.99,133.33,3199.88,,133.33,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054701_download.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
58,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07DH8459,53,0,2,hourly_min,24,,120,120,0,10000.0,134.18,158.33,3799.98,,158.33,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054872_417-4177146_toyota-car-toyota-innova-crysta-motor-vehicle-png.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
66,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07CZ8434,53,0,1,hourly_min,24,,120,120,0,10000.0,123.59,145.84,3500.07,,145.84,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054872_417-4177146_toyota-car-toyota-innova-crysta-motor-vehicle-png.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
67,Ertiga Petrol AMT,AVS RENT A CAB,1,KL07DE9443,50,0,1,hourly_min,24,,120,120,0,10000.0,105.93,125.0,2999.94,,125.0,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054661_v1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
68,Ertiga Petrol MT 2025,AVS RENT A CAB,1,KL07DF9627,49,0,1,hourly_min,24,,120,120,0,10000.0,98.87,116.67,2800.0,,116.67,,,,,,,,,,,,,,,,,,https://master.therentos.com/uploads/1780054616_v1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
