id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,3,hourly_min,24,,120,120,3985,5000.0,42.37,50.0,1199.92,,50.0,39847.29,39847.29,797,797,24,1,0,797,0,42.37,0.0,33768.89,33768.89,0.0,18,6078.4,39847.29,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,3985,5000.0,45.91,54.17,1300.17,,54.17,43176.52,43176.52,797,797,24,1,0,797,0,45.91,0.0,36590.27,36590.27,0.0,18,6586.25,43176.52,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,2,hourly_min,24,,120,120,3985,5000.0,52.97,62.5,1500.11,,62.5,49816.17,49816.17,797,797,24,1,0,797,0,52.97,0.0,42217.09,42217.09,0.0,18,7599.08,49816.17,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,3,hourly_min,24,,120,120,3985,5000.0,56.5,66.67,1600.08,,66.67,53135.99,53135.99,797,797,24,1,0,797,0,56.5,0.0,45030.5,45030.5,0.0,18,8105.49,53135.99,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,3985,5000.0,60.03,70.84,1700.05,,70.84,56455.81,56455.81,797,797,24,1,0,797,0,60.03,0.0,47843.91,47843.91,0.0,18,8611.9,56455.81,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,3985,5000.0,60.03,70.84,1700.05,,70.84,56455.81,56455.81,797,797,24,1,0,797,0,60.03,0.0,47843.91,47843.91,0.0,18,8611.9,56455.81,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
11,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5542,24,0,1,hourly_min,24,,120,120,3985,5000.0,70.62,83.33,1999.96,,83.33,66415.29,66415.29,797,797,24,1,0,797,0,70.62,0.0,56284.14,56284.14,0.0,18,10131.15,66415.29,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,2,hourly_min,24,,120,120,3985,5000.0,70.62,83.33,1999.96,,83.33,66415.29,66415.29,797,797,24,1,0,797,0,70.62,0.0,56284.14,56284.14,0.0,18,10131.15,66415.29,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,2,hourly_min,24,,120,120,3985,5000.0,67.09,79.17,1899.99,,79.17,63095.46,63095.46,797,797,24,1,0,797,0,67.09,0.0,53470.73,53470.73,0.0,18,9624.73,63095.46,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
17,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9163,36,0,1,hourly_min,24,,120,120,3985,5000.0,67.09,79.17,1899.99,,79.17,63095.46,63095.46,797,797,24,1,0,797,0,67.09,0.0,53470.73,53470.73,0.0,18,9624.73,63095.46,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
