id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,475,5000.0,45.91,54.17,1300.17,,54.17,5146.51,5146.51,95,95,24,1,0,95,0,45.91,0.0,4361.45,4361.45,0.0,18,785.06,5146.51,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
29,WagonR Petrol MT,AVS RENT A CAB,1,KL07DF5436,22,0,3,hourly_min,24,,120,120,475,5000.0,52.97,62.5,1500.11,,62.5,5937.94,5937.94,95,95,24,1,0,95,0,52.97,0.0,5032.15,5032.15,0.0,18,905.79,5937.94,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
31,WagonR Petrol AMT,AVS RENT A CAB,1,KL07DE1280,39,0,1,hourly_min,24,,120,120,475,5000.0,56.5,66.67,1600.08,,66.67,6333.65,6333.65,95,95,24,1,0,95,0,56.5,0.0,5367.5,5367.5,0.0,18,966.15,6333.65,https://master.therentos.com/uploads/1779908113_1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
33,Grand i10 Petrol MT,AVS RENT A CAB,1,KL07DF5075,30,0,1,hourly_min,24,,120,120,475,5000.0,52.97,62.5,1500.11,,62.5,5937.94,5937.94,95,95,24,1,0,95,0,52.97,0.0,5032.15,5032.15,0.0,18,905.79,5937.94,https://master.therentos.com/uploads/1774857734_i10 nios.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
37,S Presso Petrol AMT,AVS RENT A CAB,1,KL07DF5518,34,0,1,hourly_min,24,,120,120,475,5000.0,45.9,54.16,1299.89,,54.16,5145.39,5145.39,95,95,24,1,0,95,0,45.9,0.0,4360.5,4360.5,0.0,18,784.89,5145.39,https://master.therentos.com/uploads/1779902487_PngItem_5852187.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
42,Exter Petrol AMT,AVS RENT A CAB,1,KL07DJ5476,43,0,1,hourly_min,24,,120,120,475,5000.0,63.56,75.0,1800.02,,75.0,7125.08,7125.08,95,95,24,1,0,95,0,63.56,0.0,6038.2,6038.2,0.0,18,1086.88,7125.08,https://master.therentos.com/uploads/1779909499_1698469850.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
45,Fronx Petrol MT,AVS RENT A CAB,1,KL07DF5491,44,0,1,hourly_min,24,,120,120,475,5000.0,77.68,91.66,2199.9,,91.66,8707.93,8707.93,95,95,24,1,0,95,0,77.68,0.0,7379.6,7379.6,0.0,18,1328.33,8707.93,https://master.therentos.com/uploads/1779909728_variant.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
48,EcoSport Petrol AMT,AVS RENT A CAB,1,KL07CN0656,46,0,1,hourly_min,24,,120,120,475,5000.0,67.09,79.17,1899.99,,79.17,7520.79,7520.79,95,95,24,1,0,95,0,67.09,0.0,6373.55,6373.55,0.0,18,1147.24,7520.79,https://master.therentos.com/uploads/1780054491_340-3402471_ford-ecosport-se-hd-png-download.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
54,Ertiga Petrol AMT,AVS RENT A CAB,1,KL07DF5541,50,0,1,hourly_min,24,,120,120,475,10000.0,105.93,125.0,2999.94,,125.0,11874.75,11874.75,95,95,24,1,0,95,0,105.93,0.0,10063.35,10063.35,0.0,18,1811.4,11874.75,https://master.therentos.com/uploads/1780054661_v1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
58,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07DH8459,53,0,1,hourly_min,24,,120,120,475,10000.0,134.18,158.33,3799.98,,158.33,15041.58,15041.58,95,95,24,1,0,95,0,134.18,0.0,12747.1,12747.1,0.0,18,2294.48,15041.58,https://master.therentos.com/uploads/1780054872_417-4177146_toyota-car-toyota-innova-crysta-motor-vehicle-png.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
