id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,3,hourly_min,24,,120,120,595,5000.0,42.37,50.0,1199.92,,50.0,5949.6,5949.6,119,119,24,1,0,119,0,42.37,0.0,5042.03,5042.03,0.0,18,907.57,5949.6,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,595,5000.0,45.91,54.17,1300.17,,54.17,6446.68,6446.68,119,119,24,1,0,119,0,45.91,0.0,5463.29,5463.29,0.0,18,983.39,6446.68,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,2,hourly_min,24,,120,120,595,5000.0,52.97,62.5,1500.11,,62.5,7438.05,7438.05,119,119,24,1,0,119,0,52.97,0.0,6303.43,6303.43,0.0,18,1134.62,7438.05,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,3,hourly_min,24,,120,120,595,5000.0,56.5,66.67,1600.08,,66.67,7933.73,7933.73,119,119,24,1,0,119,0,56.5,0.0,6723.5,6723.5,0.0,18,1210.23,7933.73,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,595,5000.0,60.03,70.84,1700.05,,70.84,8429.41,8429.41,119,119,24,1,0,119,0,60.03,0.0,7143.57,7143.57,0.0,18,1285.84,8429.41,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,595,5000.0,60.03,70.84,1700.05,,70.84,8429.41,8429.41,119,119,24,1,0,119,0,60.03,0.0,7143.57,7143.57,0.0,18,1285.84,8429.41,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
11,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5542,24,0,1,hourly_min,24,,120,120,595,5000.0,70.62,83.33,1999.96,,83.33,9916.46,9916.46,119,119,24,1,0,119,0,70.62,0.0,8403.78,8403.78,0.0,18,1512.68,9916.46,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,2,hourly_min,24,,120,120,595,5000.0,70.62,83.33,1999.96,,83.33,9916.46,9916.46,119,119,24,1,0,119,0,70.62,0.0,8403.78,8403.78,0.0,18,1512.68,9916.46,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,2,hourly_min,24,,120,120,595,5000.0,67.09,79.17,1899.99,,79.17,9420.78,9420.78,119,119,24,1,0,119,0,67.09,0.0,7983.71,7983.71,0.0,18,1437.07,9420.78,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
16,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9113,36,0,2,hourly_min,24,,120,120,595,5000.0,67.09,79.17,1899.99,,79.17,9420.78,9420.78,119,119,24,1,0,119,0,67.09,0.0,7983.71,7983.71,0.0,18,1437.07,9420.78,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
19,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DF5579,37,0,2,hourly_min,24,,120,120,595,5000.0,77.68,91.66,2199.9,,91.66,10907.83,10907.83,119,119,24,1,0,119,0,77.68,0.0,9243.92,9243.92,0.0,18,1663.91,10907.83,https://master.therentos.com/uploads/1781728937_balenoo.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
20,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DB9370,37,0,1,hourly_min,24,,120,120,595,5000.0,77.69,91.67,2200.18,,91.67,10909.23,10909.23,119,119,24,1,0,119,0,77.69,0.0,9245.11,9245.11,0.0,18,1664.12,10909.23,https://master.therentos.com/uploads/1781728937_balenoo.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
22,Brezza Petrol MT,AVS RENT A CAB,1,KL07DE0435,26,0,2,hourly_min,24,,120,120,595,5000.0,95.34,112.5,2700.03,,112.5,13387.64,13387.64,119,119,24,1,0,119,0,95.34,0.0,11345.46,11345.46,0.0,18,2042.18,13387.64,https://master.therentos.com/uploads/1774789845_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
24,Brezza Petrol AMT,AVS RENT A CAB,1,KL07CY7219,38,0,1,hourly_min,24,,120,120,595,5000.0,88.28,104.17,2500.09,,104.17,12396.28,12396.28,119,119,24,1,0,119,0,88.28,0.0,10505.32,10505.32,0.0,18,1890.96,12396.28,https://master.therentos.com/uploads/1779907335_1774789845_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
25,Dezire Petrol AMT,AVS RENT A CAB,1,KL07DK0536,27,0,2,hourly_min,24,,120,120,595,5000.0,70.62,83.33,1999.96,,83.33,9916.46,9916.46,119,119,24,1,0,119,0,70.62,0.0,8403.78,8403.78,0.0,18,1512.68,9916.46,https://master.therentos.com/uploads/1774789833_Dzire.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
27,WagonR Petrol MT,AVS RENT A CAB,1,KL07CT4013,22,0,2,hourly_min,24,,120,120,595,5000.0,49.44,58.34,1400.14,,58.34,6942.36,6942.36,119,119,24,1,0,119,0,49.44,0.0,5883.36,5883.36,0.0,18,1059.0,6942.36,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
29,WagonR Petrol MT,AVS RENT A CAB,1,KL07DF5436,22,0,3,hourly_min,24,,120,120,595,5000.0,52.97,62.5,1500.11,,62.5,7438.05,7438.05,119,119,24,1,0,119,0,52.97,0.0,6303.43,6303.43,0.0,18,1134.62,7438.05,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
31,WagonR Petrol AMT,AVS RENT A CAB,1,KL07DE1280,39,0,2,hourly_min,24,,120,120,595,5000.0,56.5,66.67,1600.08,,66.67,7933.73,7933.73,119,119,24,1,0,119,0,56.5,0.0,6723.5,6723.5,0.0,18,1210.23,7933.73,https://master.therentos.com/uploads/1779908113_1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
33,Grand i10 Petrol MT,AVS RENT A CAB,1,KL07DF5075,30,0,2,hourly_min,24,,120,120,595,5000.0,52.97,62.5,1500.11,,62.5,7438.05,7438.05,119,119,24,1,0,119,0,52.97,0.0,6303.43,6303.43,0.0,18,1134.62,7438.05,https://master.therentos.com/uploads/1774857734_i10 nios.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
35,Grand i10 Petrol AMT,AVS RENT A CAB,1,KL07DF5013,40,0,2,hourly_min,24,,120,120,595,5000.0,56.5,66.67,1600.08,,66.67,7933.73,7933.73,119,119,24,1,0,119,0,56.5,0.0,6723.5,6723.5,0.0,18,1210.23,7933.73,https://master.therentos.com/uploads/1779908735_1774857734_i10 nios.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
36,S Presso Petrol AMT,AVS RENT A CAB,1,KL07DF5526,34,0,2,hourly_min,24,,120,120,595,5000.0,45.9,54.16,1299.89,,54.16,6445.28,6445.28,119,119,24,1,0,119,0,45.9,0.0,5462.1,5462.1,0.0,18,983.18,6445.28,https://master.therentos.com/uploads/1779902487_PngItem_5852187.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
38,Ignis Petrol MT,AVS RENT A CAB,1,KL07DF7910,41,0,2,hourly_min,24,,120,120,595,5000.0,52.97,62.5,1500.11,,62.5,7438.05,7438.05,119,119,24,1,0,119,0,52.97,0.0,6303.43,6303.43,0.0,18,1134.62,7438.05,https://master.therentos.com/uploads/1779909148_PngItem_1232124.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
40,Ignis Petrol AMT,AVS RENT A CAB,1,KL07DF7940,42,0,3,hourly_min,24,,120,120,595,5000.0,56.5,66.67,1600.08,,66.67,7933.73,7933.73,119,119,24,1,0,119,0,56.5,0.0,6723.5,6723.5,0.0,18,1210.23,7933.73,https://master.therentos.com/uploads/1779909174_PngItem_1232124.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
42,Exter Petrol AMT,AVS RENT A CAB,1,KL07DJ5476,43,0,2,hourly_min,24,,120,120,595,5000.0,63.56,75.0,1800.02,,75.0,8925.1,8925.1,119,119,24,1,0,119,0,63.56,0.0,7563.64,7563.64,0.0,18,1361.46,8925.1,https://master.therentos.com/uploads/1779909499_1698469850.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
44,Fronx Petrol MT,AVS RENT A CAB,1,KL07DF5539,44,0,2,hourly_min,24,,120,120,595,5000.0,77.68,91.66,2199.9,,91.66,10907.83,10907.83,119,119,24,1,0,119,0,77.68,0.0,9243.92,9243.92,0.0,18,1663.91,10907.83,https://master.therentos.com/uploads/1779909728_variant.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
47,Fronx Petrol AMT,AVS RENT A CAB,1,KL07DC1178,45,0,1,hourly_min,24,,120,120,595,5000.0,81.21,95.83,2299.87,,95.83,11403.51,11403.51,119,119,24,1,0,119,0,81.21,0.0,9663.99,9663.99,0.0,18,1739.52,11403.51,https://master.therentos.com/uploads/1779909743_variant.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
48,EcoSport Petrol AMT,AVS RENT A CAB,1,KL07CN0656,46,0,1,hourly_min,24,,120,120,595,5000.0,67.09,79.17,1899.99,,79.17,9420.78,9420.78,119,119,24,1,0,119,0,67.09,0.0,7983.71,7983.71,0.0,18,1437.07,9420.78,https://master.therentos.com/uploads/1780054491_340-3402471_ford-ecosport-se-hd-png-download.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
49,Grand Vitara Petrol MT,AVS RENT A CAB,1,KL07DF5514,47,0,2,hourly_min,24,,120,120,595,5000.0,105.93,125.0,2999.94,,125.0,14874.69,14874.69,119,119,24,1,0,119,0,105.93,0.0,12605.67,12605.67,0.0,18,2269.02,14874.69,https://master.therentos.com/uploads/1780054533_grandvitara-arctic-white1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
51,Creta Diesel AMT,AVS RENT A CAB,1,KL07DJ2964,48,0,2,hourly_min,24,,120,120,595,5000.0,112.99,133.33,3199.88,,133.33,15866.06,15866.06,119,119,24,1,0,119,0,112.99,0.0,13445.81,13445.81,0.0,18,2420.25,15866.06,https://master.therentos.com/uploads/1780054562_pngegg (1).png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
53,Ertiga Petrol MT 2025,AVS RENT A CAB,1,KL07DF6127,49,0,2,hourly_min,24,,120,120,595,10000.0,98.87,116.67,2800.0,,116.67,13883.33,13883.33,119,119,24,1,0,119,0,98.87,0.0,11765.53,11765.53,0.0,18,2117.8,13883.33,https://master.therentos.com/uploads/1780054616_v1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
54,Ertiga Petrol AMT,AVS RENT A CAB,1,KL07DF5541,50,0,1,hourly_min,24,,120,120,595,10000.0,105.93,125.0,2999.94,,125.0,14874.69,14874.69,119,119,24,1,0,119,0,105.93,0.0,12605.67,12605.67,0.0,18,2269.02,14874.69,https://master.therentos.com/uploads/1780054661_v1.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
55,Ertiga XL6 Petrol AMT,AVS RENT A CAB,1,KL07DH9601,51,0,1,hourly_min,24,,120,120,595,10000.0,112.99,133.33,3199.88,,133.33,15866.06,15866.06,119,119,24,1,0,119,0,112.99,0.0,13445.81,13445.81,0.0,18,2420.25,15866.06,https://master.therentos.com/uploads/1780054701_download.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
56,Crysta N/M Diesel MT,AVS RENT A CAB,1,KL07DG1348,53,0,4,hourly_min,24,,120,120,595,10000.0,134.18,158.33,3799.98,,158.33,18841.56,18841.56,119,119,24,1,0,119,0,134.18,0.0,15967.42,15967.42,0.0,18,2874.14,18841.56,https://master.therentos.com/uploads/1780054872_417-4177146_toyota-car-toyota-innova-crysta-motor-vehicle-png.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
