id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,3,hourly_min,24,,120,120,180,5000.0,42.37,50.0,1199.92,,50.0,1799.88,1799.88,36,36,24,1,0,36,0,42.37,0.0,1525.32,1525.32,0.0,18,274.56,1799.88,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,180,5000.0,45.91,54.17,1300.17,,54.17,1950.26,1950.26,36,36,24,1,0,36,0,45.91,0.0,1652.76,1652.76,0.0,18,297.5,1950.26,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
5,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5766,25,0,1,hourly_min,24,,120,120,180,5000.0,52.97,62.5,1500.11,,62.5,2250.17,2250.17,36,36,24,1,0,36,0,52.97,0.0,1906.92,1906.92,0.0,18,343.25,2250.17,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,2,hourly_min,24,,120,120,180,5000.0,56.5,66.67,1600.08,,66.67,2400.12,2400.12,36,36,24,1,0,36,0,56.5,0.0,2034.0,2034.0,0.0,18,366.12,2400.12,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,180,5000.0,60.03,70.84,1700.05,,70.84,2550.07,2550.07,36,36,24,1,0,36,0,60.03,0.0,2161.08,2161.08,0.0,18,388.99,2550.07,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,1,hourly_min,24,,120,120,180,5000.0,70.62,83.33,1999.96,,83.33,2999.94,2999.94,36,36,24,1,0,36,0,70.62,0.0,2542.32,2542.32,0.0,18,457.62,2999.94,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,1,hourly_min,24,,120,120,180,5000.0,67.09,79.17,1899.99,,79.17,2849.98,2849.98,36,36,24,1,0,36,0,67.09,0.0,2415.24,2415.24,0.0,18,434.74,2849.98,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
16,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9113,36,0,1,hourly_min,24,,120,120,180,5000.0,67.09,79.17,1899.99,,79.17,2849.98,2849.98,36,36,24,1,0,36,0,67.09,0.0,2415.24,2415.24,0.0,18,434.74,2849.98,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
20,Baleno Petrol AMT,AVS RENT A CAB,1,KL07DB9370,37,0,1,hourly_min,24,,120,120,180,5000.0,77.69,91.67,2200.18,,91.67,3300.27,3300.27,36,36,24,1,0,36,0,77.69,0.0,2796.84,2796.84,0.0,18,503.43,3300.27,https://master.therentos.com/uploads/1781728937_balenoo.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
27,WagonR Petrol MT,AVS RENT A CAB,1,KL07CT4013,22,0,2,hourly_min,24,,120,120,180,5000.0,49.44,58.34,1400.14,,58.34,2100.21,2100.21,36,36,24,1,0,36,0,49.44,0.0,1779.84,1779.84,0.0,18,320.37,2100.21,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
