id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
2,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8546,31,0,1,hourly_min,24,,120,120,360,5000.0,42.37,50.0,1199.92,,50.0,3599.76,3599.76,72,72,24,1,0,72,0,42.37,0.0,3050.64,3050.64,0.0,18,549.12,3599.76,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
5,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5766,25,0,1,hourly_min,24,,120,120,360,5000.0,52.97,62.5,1500.11,,62.5,4500.33,4500.33,72,72,24,1,0,72,0,52.97,0.0,3813.84,3813.84,0.0,18,686.49,4500.33,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,3,hourly_min,24,,120,120,360,5000.0,56.5,66.67,1600.08,,66.67,4800.24,4800.24,72,72,24,1,0,72,0,56.5,0.0,4068.0,4068.0,0.0,18,732.24,4800.24,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,2,hourly_min,24,,120,120,360,5000.0,70.62,83.33,1999.96,,83.33,5999.88,5999.88,72,72,24,1,0,72,0,70.62,0.0,5084.64,5084.64,0.0,18,915.24,5999.88,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,1,hourly_min,24,,120,120,360,5000.0,67.09,79.17,1899.99,,79.17,5699.97,5699.97,72,72,24,1,0,72,0,67.09,0.0,4830.48,4830.48,0.0,18,869.49,5699.97,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
16,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9113,36,0,2,hourly_min,24,,120,120,360,5000.0,67.09,79.17,1899.99,,79.17,5699.97,5699.97,72,72,24,1,0,72,0,67.09,0.0,4830.48,4830.48,0.0,18,869.49,5699.97,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
24,Brezza Petrol AMT,AVS RENT A CAB,1,KL07CY7219,38,0,1,hourly_min,24,,120,120,360,5000.0,88.28,104.17,2500.09,,104.17,7500.27,7500.27,72,72,24,1,0,72,0,88.28,0.0,6356.16,6356.16,0.0,18,1144.11,7500.27,https://master.therentos.com/uploads/1779907335_1774789845_Brezza.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
25,Dezire Petrol AMT,AVS RENT A CAB,1,KL07DK0536,27,0,2,hourly_min,24,,120,120,360,5000.0,70.62,83.33,1999.96,,83.33,5999.88,5999.88,72,72,24,1,0,72,0,70.62,0.0,5084.64,5084.64,0.0,18,915.24,5999.88,https://master.therentos.com/uploads/1774789833_Dzire.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
27,WagonR Petrol MT,AVS RENT A CAB,1,KL07CT4013,22,0,1,hourly_min,24,,120,120,360,5000.0,49.44,58.34,1400.14,,58.34,4200.42,4200.42,72,72,24,1,0,72,0,49.44,0.0,3559.68,3559.68,0.0,18,640.74,4200.42,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
29,WagonR Petrol MT,AVS RENT A CAB,1,KL07DF5436,22,0,3,hourly_min,24,,120,120,360,5000.0,52.97,62.5,1500.11,,62.5,4500.33,4500.33,72,72,24,1,0,72,0,52.97,0.0,3813.84,3813.84,0.0,18,686.49,4500.33,https://master.therentos.com/uploads/1774789892_Wagon R_.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
